TITLE	FittingExample
DATA	TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/06/07
TIME	13:08:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	190.0000
NPOINTS	711
FIRSTY	0.08027
MAXY	3.79174
MINY	0.05499
XYDATA
359.0000	0.55559
358.0000	0.56875
357.0000	0.58208
356.0000	0.5956
355.0000	0.60929
354.0000	0.62302
353.0000	0.63708
352.0000	0.65141
351.0000	0.6653
350.0000	0.67921
349.0000	0.6928
348.0000	0.70559
347.0000	0.71811
346.0000	0.72991
345.0000	0.74088
344.0000	0.75077
343.0000	0.75991
342.0000	0.76866
341.0000	0.7771
340.0000	0.78511
339.0000	0.79414
338.0000	0.80358
337.0000	0.81474
336.0000	0.82744
335.0000	0.8426
334.0000	0.86052
333.0000	0.88201
332.0000	0.90725
331.0000	0.93671
330.0000	0.97122
329.0000	1.01127
328.0000	1.05741
327.0000	1.11046
326.0000	1.17115
325.0000	1.23989
324.0000	1.31779
323.0000	1.40552
322.0000	1.50452
321.0000	1.61394
320.0000	1.73431
319.0000	1.86652
318.0000	2.00911
317.0000	2.16164
316.0000	2.32269
315.0000	2.48813
314.0000	2.65449
313.0000	2.82382
312.0000	2.98075
311.0000	3.12405
310.0000	3.25238
309.0000	3.36261
308.0000	3.44542
307.0000	3.51295
306.0000	3.5741
305.0000	3.61607
304.0000	3.63924
303.0000	3.66998
302.0000	3.69776
301.0000	3.71575
300.0000	3.72734
299.0000	3.74389
298.0000	3.7513
297.0000	3.77169
296.0000	3.77015
295.0000	3.77188
294.0000	3.78491
293.0000	3.78663
292.0000	3.79174
291.0000	3.78328
290.0000	3.77355
289.0000	3.7768
288.0000	3.75596
287.0000	3.74221
286.0000	3.7187
285.0000	3.69224
284.0000	3.65249
283.0000	3.6116
282.0000	3.54916
281.0000	3.46652
280.0000	3.37394
279.0000	3.2663
278.0000	3.15268
277.0000	3.02966
276.0000	2.8995
275.0000	2.76418
274.0000	2.62662
273.0000	2.49143
272.0000	2.35696
271.0000	2.22588
270.0000	2.10162
269.0000	1.98508
268.0000	1.87745
267.0000	1.78175
266.0000	1.69778
265.0000	1.62788
264.0000	1.57323
263.0000	1.53615
262.0000	1.51988
261.0000	1.52451
260.0000	1.55197
259.0000	1.60041
258.0000	1.66607
257.0000	1.74191
256.0000	1.82143
255.0000	1.89706
254.0000	1.96366
253.0000	2.02244
252.0000	2.07511
251.0000	2.12494
250.0000	2.17576
249.0000	2.23005
248.0000	2.28778
247.0000	2.34788
246.0000	2.4066
245.0000	2.45979
244.0000	2.504
243.0000	2.53706
242.0000	2.56262
